"run_id","player_id","place","speedrun_time","is_verified","verify_date","submitted_date","examiner_id","timing_type","platform_id","platform_name","platform_released_year","is_level_cat","level_id","level_name","level_rules","game_id","category_id","cat_name","cat_rules","player_name","player_country","player_pronouns","player_signup_date"
"zp2g6d8y","xz995g08","1","98.0","True","2022-01-30 20:40:44","2022-01-30 15:22:28","v8le49vx","realtime","nzelkr6q","PlayStation 4","2013","False","","","","mce","zd3vpoe2","Set Seed Any%","## Set Seed Any%
Reach the End Poem as quickly as possible.
- [World Creation Settings and Rules.](https://www.speedrun.com/mce/thread/71azs)
- When creating the world, you must **show all World Settings** before you press ""Create World"".
- **All** World and Biome Sizes are allowed.
- Timing uses the RTA with Set Loads which adds a certain amount of time for certain actions done in-game.
- Time ends on the first frame of the end-game credits appearing on screen.
- Pausing the game, leaving the world, or opening the console's home menu does not pause the timer.
- **Using the map that you spawn with is allowed and encouraged.**

___


- **Set Seed**
 - The ""Seed for the World Generator"" textbox must be filled with a seed.","Khalooody","bh","","2020-01-04 11:41:15"
"y6oovepy","x7qey508","2","100.0","True","2023-02-15 05:17:52","2023-02-13 01:47:28","xz995g08","realtime","nzelkr6q","PlayStation 4","2013","False","","","","mce","zd3vpoe2","Set Seed Any%","## Set Seed Any%
Reach the End Poem as quickly as possible.
- [World Creation Settings and Rules.](https://www.speedrun.com/mce/thread/71azs)
- When creating the world, you must **show all World Settings** before you press ""Create World"".
- **All** World and Biome Sizes are allowed.
- Timing uses the RTA with Set Loads which adds a certain amount of time for certain actions done in-game.
- Time ends on the first frame of the end-game credits appearing on screen.
- Pausing the game, leaving the world, or opening the console's home menu does not pause the timer.
- **Using the map that you spawn with is allowed and encouraged.**

___


- **Set Seed**
 - The ""Seed for the World Generator"" textbox must be filled with a seed.","jerrinth3glitch","us","She/Her","2020-07-05 03:44:10"
"z0ojvx8z","xkoo9n28","3","103.0","True","2022-02-08 01:32:46","2022-02-06 02:03:06","xk4o37kj","realtime","7m6ylw9p","Switch","2017","False","","","","mce","zd3vpoe2","Set Seed Any%","## Set Seed Any%
Reach the End Poem as quickly as possible.
- [World Creation Settings and Rules.](https://www.speedrun.com/mce/thread/71azs)
- When creating the world, you must **show all World Settings** before you press ""Create World"".
- **All** World and Biome Sizes are allowed.
- Timing uses the RTA with Set Loads which adds a certain amount of time for certain actions done in-game.
- Time ends on the first frame of the end-game credits appearing on screen.
- Pausing the game, leaving the world, or opening the console's home menu does not pause the timer.
- **Using the map that you spawn with is allowed and encouraged.**

___


- **Set Seed**
 - The ""Seed for the World Generator"" textbox must be filled with a seed.","TrenttheN642","us","","2020-01-18 17:58:36"
"y88133ny","8vk99p5j","3","103.0","True","2022-04-21 18:02:43","2022-04-20 08:45:25","xk4o37kj","realtime","nzelkr6q","PlayStation 4","2013","False","","","","mce","zd3vpoe2","Set Seed Any%","## Set Seed Any%
Reach the End Poem as quickly as possible.
- [World Creation Settings and Rules.](https://www.speedrun.com/mce/thread/71azs)
- When creating the world, you must **show all World Settings** before you press ""Create World"".
- **All** World and Biome Sizes are allowed.
- Timing uses the RTA with Set Loads which adds a certain amount of time for certain actions done in-game.
- Time ends on the first frame of the end-game credits appearing on screen.
- Pausing the game, leaving the world, or opening the console's home menu does not pause the timer.
- **Using the map that you spawn with is allowed and encouraged.**

___


- **Set Seed**
 - The ""Seed for the World Generator"" textbox must be filled with a seed.","_Shrub","sa","","2021-02-24 16:37:31"
"zp99wpgm","xz995g08","5","106.0","True","2022-05-30 20:47:53","2022-05-30 18:41:16","v8le49vx","realtime","8gejn93d","Wii U","2012","False","","","","mce","zd3vpoe2","Set Seed Any%","## Set Seed Any%
Reach the End Poem as quickly as possible.
- [World Creation Settings and Rules.](https://www.speedrun.com/mce/thread/71azs)
- When creating the world, you must **show all World Settings** before you press ""Create World"".
- **All** World and Biome Sizes are allowed.
- Timing uses the RTA with Set Loads which adds a certain amount of time for certain actions done in-game.
- Time ends on the first frame of the end-game credits appearing on screen.
- Pausing the game, leaving the world, or opening the console's home menu does not pause the timer.
- **Using the map that you spawn with is allowed and encouraged.**

___


- **Set Seed**
 - The ""Seed for the World Generator"" textbox must be filled with a seed.","Khalooody","bh","","2020-01-04 11:41:15"
"yj81grdm","8vokkz5x","5","106.0","True","2023-01-11 06:09:20","2023-01-07 11:24:31","v8le49vx","realtime","8gejn93d","Wii U","2012","False","","","","mce","zd3vpoe2","Set Seed Any%","## Set Seed Any%
Reach the End Poem as quickly as possible.
- [World Creation Settings and Rules.](https://www.speedrun.com/mce/thread/71azs)
- When creating the world, you must **show all World Settings** before you press ""Create World"".
- **All** World and Biome Sizes are allowed.
- Timing uses the RTA with Set Loads which adds a certain amount of time for certain actions done in-game.
- Time ends on the first frame of the end-game credits appearing on screen.
- Pausing the game, leaving the world, or opening the console's home menu does not pause the timer.
- **Using the map that you spawn with is allowed and encouraged.**

___


- **Set Seed**
 - The ""Seed for the World Generator"" textbox must be filled with a seed.","CaveSpider","bh","","2021-06-29 18:47:50"
"y9v2ojem","8lp5oevj","7","107.0","True","2022-04-19 13:10:26","2022-04-14 23:41:57","xk4o37kj","realtime","4p9zjrer","PlayStation 5","2020","False","","","","mce","zd3vpoe2","Set Seed Any%","## Set Seed Any%
Reach the End Poem as quickly as possible.
- [World Creation Settings and Rules.](https://www.speedrun.com/mce/thread/71azs)
- When creating the world, you must **show all World Settings** before you press ""Create World"".
- **All** World and Biome Sizes are allowed.
- Timing uses the RTA with Set Loads which adds a certain amount of time for certain actions done in-game.
- Time ends on the first frame of the end-game credits appearing on screen.
- Pausing the game, leaving the world, or opening the console's home menu does not pause the timer.
- **Using the map that you spawn with is allowed and encouraged.**

___


- **Set Seed**
 - The ""Seed for the World Generator"" textbox must be filled with a seed.","Piggywink333","us","","2021-06-08 22:27:32"
"zq0e9k8y","v8le49vx","8","109.0","True","2022-01-29 19:50:18","2022-01-29 17:58:59","xz995g08","realtime","8gejn93d","Wii U","2012","False","","","","mce","zd3vpoe2","Set Seed Any%","## Set Seed Any%
Reach the End Poem as quickly as possible.
- [World Creation Settings and Rules.](https://www.speedrun.com/mce/thread/71azs)
- When creating the world, you must **show all World Settings** before you press ""Create World"".
- **All** World and Biome Sizes are allowed.
- Timing uses the RTA with Set Loads which adds a certain amount of time for certain actions done in-game.
- Time ends on the first frame of the end-game credits appearing on screen.
- Pausing the game, leaving the world, or opening the console's home menu does not pause the timer.
- **Using the map that you spawn with is allowed and encouraged.**

___


- **Set Seed**
 - The ""Seed for the World Generator"" textbox must be filled with a seed.","Alexis.","us","","2019-01-19 17:37:40"
"y4qr6lnm","j92gmk78","9","118.0","True","2022-05-16 18:08:09","2022-05-16 14:21:33","xk4o37kj","realtime","4p9zjrer","PlayStation 5","2020","False","","","","mce","zd3vpoe2","Set Seed Any%","## Set Seed Any%
Reach the End Poem as quickly as possible.
- [World Creation Settings and Rules.](https://www.speedrun.com/mce/thread/71azs)
- When creating the world, you must **show all World Settings** before you press ""Create World"".
- **All** World and Biome Sizes are allowed.
- Timing uses the RTA with Set Loads which adds a certain amount of time for certain actions done in-game.
- Time ends on the first frame of the end-game credits appearing on screen.
- Pausing the game, leaving the world, or opening the console's home menu does not pause the timer.
- **Using the map that you spawn with is allowed and encouraged.**

___


- **Set Seed**
 - The ""Seed for the World Generator"" textbox must be filled with a seed.","OphieSR","us","He/Him","2020-10-14 01:11:21"
"zg20grjy","8enlor28","10","123.0","True","2023-04-05 23:49:48","2023-04-05 23:42:07","xz995g08","realtime","8gejn93d","Wii U","2012","False","","","","mce","zd3vpoe2","Set Seed Any%","## Set Seed Any%
Reach the End Poem as quickly as possible.
- [World Creation Settings and Rules.](https://www.speedrun.com/mce/thread/71azs)
- When creating the world, you must **show all World Settings** before you press ""Create World"".
- **All** World and Biome Sizes are allowed.
- Timing uses the RTA with Set Loads which adds a certain amount of time for certain actions done in-game.
- Time ends on the first frame of the end-game credits appearing on screen.
- Pausing the game, leaving the world, or opening the console's home menu does not pause the timer.
- **Using the map that you spawn with is allowed and encouraged.**

___


- **Set Seed**
 - The ""Seed for the World Generator"" textbox must be filled with a seed.","0wen","us","","2021-03-03 02:51:34"
"me46q12y","8enlor28","11","124.0","True","2021-08-23 12:36:04","2021-08-21 19:24:06","x35dv12j","realtime","8gejn93d","Wii U","2012","False","","","","mce","zd3vpoe2","Set Seed Any%","## Set Seed Any%
Reach the End Poem as quickly as possible.
- [World Creation Settings and Rules.](https://www.speedrun.com/mce/thread/71azs)
- When creating the world, you must **show all World Settings** before you press ""Create World"".
- **All** World and Biome Sizes are allowed.
- Timing uses the RTA with Set Loads which adds a certain amount of time for certain actions done in-game.
- Time ends on the first frame of the end-game credits appearing on screen.
- Pausing the game, leaving the world, or opening the console's home menu does not pause the timer.
- **Using the map that you spawn with is allowed and encouraged.**

___


- **Set Seed**
 - The ""Seed for the World Generator"" textbox must be filled with a seed.","0wen","us","","2021-03-03 02:51:34"
"y80xvx1m","816yw53x","12","126.0","True","2023-02-11 08:00:41","2023-02-05 05:26:07","v8le49vx","realtime","8gejn93d","Wii U","2012","False","","","","mce","zd3vpoe2","Set Seed Any%","## Set Seed Any%
Reach the End Poem as quickly as possible.
- [World Creation Settings and Rules.](https://www.speedrun.com/mce/thread/71azs)
- When creating the world, you must **show all World Settings** before you press ""Create World"".
- **All** World and Biome Sizes are allowed.
- Timing uses the RTA with Set Loads which adds a certain amount of time for certain actions done in-game.
- Time ends on the first frame of the end-game credits appearing on screen.
- Pausing the game, leaving the world, or opening the console's home menu does not pause the timer.
- **Using the map that you spawn with is allowed and encouraged.**

___


- **Set Seed**
 - The ""Seed for the World Generator"" textbox must be filled with a seed.","Tutterey","au","He/Him","2021-03-08 19:37:05"
"m3x34gdm","8ged1l7j","13","130.0","True","2023-02-16 12:37:10","2022-09-08 11:15:56","xz995g08","realtime","8gejn93d","Wii U","2012","False","","","","mce","zd3vpoe2","Set Seed Any%","## Set Seed Any%
Reach the End Poem as quickly as possible.
- [World Creation Settings and Rules.](https://www.speedrun.com/mce/thread/71azs)
- When creating the world, you must **show all World Settings** before you press ""Create World"".
- **All** World and Biome Sizes are allowed.
- Timing uses the RTA with Set Loads which adds a certain amount of time for certain actions done in-game.
- Time ends on the first frame of the end-game credits appearing on screen.
- Pausing the game, leaving the world, or opening the console's home menu does not pause the timer.
- **Using the map that you spawn with is allowed and encouraged.**

___


- **Set Seed**
 - The ""Seed for the World Generator"" textbox must be filled with a seed.","xdalesioYT","gr","","2020-10-28 18:53:25"
