channelId,videoId,categoryId,title,viewCount,likeCount,dislikeCount,commentCount,publishedAt,description
UC4zyoIAzmdsgpDZQfO1-lSA,aWbQ5WcB0m4,20,Announcement Trailer - Cyber Up Your PC! Cyberpunk 2077 Case Modding Contest,551793,14324,740,1492,2020-04-07T14:45:17Z,"Design the Cyberpunk 2077 PC Case of Your Dreams!
We are happy to announce the start of our ‘Cyber-up Your PC’ contest, inviting fans from across the world to design their own PC case mod inspired by the style of Cyberpunk 2077.

Learn more about the contest on its official website: https://www.cyberpunk.net/cyberup

Cyberpunk 2077, the open-world, action-adventure story from CD PROJEKT RED, is coming to Xbox One, PS4 and PC September 17th, 2020.

Pre-order now: https://www.cyberpunk.net/pre-order

About Cyberpunk 2077: 
In the most dangerous megacity of the future, the real you is not enough. Become V, a cyber-enhanced mercenary outlaw going after a one-of-a-kind implant — the key to immortality. Customize your cyberware and skillset, and explore a vast city of the future obsessed with power, glamour and body modification. The choices you make will determine the story and shape the world around you.

Learn more:
https://www.cyberpunk.net
https://forums.cdprojektred.com
https://www.twitter.com/CyberpunkGame
https://www.facebook.com/CyberpunkGame
https://www.instagram.com/CyberpunkGame
https://www.discord.gg/CyberpunkGame
https://www.CyberpunkGame.tumblr.com"
UC4zyoIAzmdsgpDZQfO1-lSA,mrZC1Jcv0dw,20,Grimes – 4ÆM,2447237,104973,1958,7342,2019-12-19T15:06:33Z,"oo-
aphrodite, i wrote your constellation
into the sky
s s s s s sa
suns at night

im out late, at 4am,
he says how's the weather baby how you been
ur gonna get sick
u don't know when
i never doubt it
at 4am

4am 4am
fallin down again
unravelling

Cyberpunk 2077, the open-world, action-adventure story from CD PROJEKT RED, is coming April 16th, 2020.

Pre-order now: https://www.cyberpunk.net/pre-order

About Cyberpunk 2077:
In the most dangerous megacity of the future, the real you is not enough. Become V, a cyber-enhanced mercenary outlaw going after a one-of-a-kind implant — the key to immortality. Customize your cyberware and skillset, and explore a vast city of the future obsessed with power, glamour and body modification. The choices you make will determine the story and shape the world around you.  

Learn more:
https://www.cyberpunk.net 
https://www.twitter.com/CyberpunkGame
https://www.facebook.com/CyberpunkGame 
https://www.instagram.com/CyberpunkGame
https://www.discord.gg/CyberpunkGame
https://www.CyberpunkGame.tumblr.com

'4ÆM' by Grimes out now: http://grimes.ffm.to/violence
Produced, Performed, and Engineered by Grimes
'Miss Anthropocene' release date: February 21st: https://grimes.ffm.to/missanthropocene

http://www.grimesmusic.com
https://www.youtube.com/user/Grimezsz/
https://www.instagram.com/grimes
https://www.twitter.com/Grimezsz
http://www.actuallygrimes.tumblr.com
https://www.facebook.com/actuallygrimes"
UC4zyoIAzmdsgpDZQfO1-lSA,Q4ZdkEiYvK0,20,Cyberpunk 2077 – Grimes performing 4ÆM live at The Game Awards,3618884,34040,962,2758,2019-12-13T04:51:20Z,"Watch Grimes – who will be also voicing Lizzy Wizzy in the game – perform her song 4ÆM live on TGA stage, accompanied by a music video inspired by the world of Cyberpunk 2077!

Cyberpunk 2077, the open-world, action-adventure story from CD PROJEKT RED, is coming April 16th, 2020.
Pre-order now: https://www.cyberpunk.net/pre-order

About Cyberpunk 2077:
In the most dangerous megacity of the future, the real you is not enough. Become V, a cyber-enhanced mercenary outlaw going after a one-of-a-kind implant — the key to immortality. Customize your cyberware and skillset, and explore a vast city of the future obsessed with power, glamour and body modification. The choices you make will determine the story and shape the world around you.  

Learn more:
https://www.cyberpunk.net 
https://www.twitter.com/CyberpunkGame
https://www.facebook.com/CyberpunkGame 
https://www.instagram.com/CyberpunkGame
https://www.discord.gg/CyberpunkGame
https://www.CyberpunkGame.tumblr.com

'4ÆM' by Grimes out now: http://grimes.ffm.to/violence
Produced, Performed, and Engineered by Grimes
'Miss Anthropocene' release date: February 21st: https://grimes.ffm.to/missanthropocene

http://www.grimesmusic.com
https://www.youtube.com/user/Grimezsz/
https://www.instagram.com/grimes
https://www.twitter.com/Grimezsz
http://www.actuallygrimes.tumblr.com
https://www.facebook.com/actuallygrimes"
UC4zyoIAzmdsgpDZQfO1-lSA,aZ_ARLDWK9Y,20,Cyberpunk 2077 – Behind The Music,413220,23218,340,2702,2019-12-13T02:57:19Z,"Meet some of the artists behind Cyberpunk 2077 soundtrack!

Cyberpunk 2077, the open-world, action-adventure story from CD PROJEKT RED, is coming April 16th, 2020.
Pre-order now: https://www.cyberpunk.net/pre-order

About Cyberpunk 2077:
In the most dangerous megacity of the future, the real you is not enough. Become V, a cyber-enhanced mercenary outlaw going after a one-of-a-kind implant — the key to immortality. Customize your cyberware and skillset, and explore a vast city of the future obsessed with power, glamour and body modification. The choices you make will determine the story and shape the world around you.  

Learn more:
https://www.cyberpunk.net 
https://www.twitter.com/CyberpunkGame
https://www.facebook.com/CyberpunkGame 
https://www.instagram.com/CyberpunkGame
https://www.discord.gg/CyberpunkGame
https://www.CyberpunkGame.tumblr.com"
UC4zyoIAzmdsgpDZQfO1-lSA,cgFvZmfjTYc,20,Cyberpunk 2077 — Official E3 2019 Cinematic Trailer | Behind the Scenes,1015116,67731,465,3945,2019-09-11T14:01:45Z,"CD PROJEKT RED and Goodbye Kansas present: the making of Cyberpunk 2077 Cinematic Trailer!

About Cyberpunk 2077:
In the most dangerous megacity of the future, the real you is not enough. Become V, a cyber-enhanced mercenary outlaw going after a one-of-a-kind implant — the key to immortality. Customize your cyberware and skillset, and explore a vast city of the future obsessed with power, glamour and body modification. The choices you make will determine the story and shape the world around you.  

Pre-order now: https://www.cyberpunk.net/pre-order

Learn more:
https://www.cyberpunk.net 
https://www.twitter.com/CyberpunkGame
https://www.facebook.com/CyberpunkGame 
https://www.instagram.com/CyberpunkGame
https://www.discord.gg/CyberpunkGame
https://www.CyberpunkGame.tumblr.com"
UC4zyoIAzmdsgpDZQfO1-lSA,SVAryZ0GLwE,20,Cyberpunk 2077 – Deep Dive Video + Q&A panel with developers,515688,19717,429,2771,2019-08-30T19:13:31Z,"Watch the worldwide reveal of brand new game footage from Cyberpunk 2077, followed by a series of chats with members of the game’s development team hosted by CD PROJEKT RED’s very own Hollie Bennett!

This video contains work-in-progress gameplay — everything you see is potentially subject to change.

Cyberpunk 2077, the open-world, action-adventure story from CD PROJEKT RED, is coming to Xbox One, PS4 and PC April 16th, 2020.
Pre-order now: https://www.cyberpunk.net/pre-order

About Cyberpunk 2077:
In the most dangerous megacity of the future, the real you is not enough. Become V, a cyber-enhanced mercenary outlaw going after a one-of-a-kind implant — the key to immortality. Customize your cyberware and skillset, and explore a vast city of the future obsessed with power, glamour and body modification. The choices you make will determine the story and shape the world around you.  

Learn more:
https://www.cyberpunk.net 
https://www.twitter.com/CyberpunkGame
https://www.facebook.com/CyberpunkGame 
https://www.instagram.com/CyberpunkGame
https://www.discord.gg/CyberpunkGame
https://www.CyberpunkGame.tumblr.com

Disclaimer: this video was recorded in 1080p and upscaled to 4k to utilise YouTube’s higher bitrate for 4k videos."
UC4zyoIAzmdsgpDZQfO1-lSA,FknHjl7eQ6o,20,Cyberpunk 2077 – Deep Dive Video,6234729,211715,4016,22104,2019-08-30T18:33:17Z,"Watch the worldwide reveal of brand new game footage from Cyberpunk 2077!

This video contains work-in-progress gameplay — everything you see is potentially subject to change.

Cyberpunk 2077, the open-world, action-adventure story from CD PROJEKT RED, is coming to Xbox One, PS4 and PC April 16th, 2020.
Pre-order now: https://www.cyberpunk.net/pre-order

About Cyberpunk 2077:
In the most dangerous megacity of the future, the real you is not enough. Become V, a cyber-enhanced mercenary outlaw going after a one-of-a-kind implant — the key to immortality. Customize your cyberware and skillset, and explore a vast city of the future obsessed with power, glamour and body modification. The choices you make will determine the story and shape the world around you.  

Learn more:
https://www.cyberpunk.net 
https://www.twitter.com/CyberpunkGame
https://www.facebook.com/CyberpunkGame 
https://www.instagram.com/CyberpunkGame
https://www.discord.gg/CyberpunkGame
https://www.CyberpunkGame.tumblr.com

Disclaimer: this video was recorded in 1080p and upscaled to 4k to utilise YouTube’s higher bitrate for 4k videos."
UC4zyoIAzmdsgpDZQfO1-lSA,AN1RJF55NXI,20,Cyberpunk 2077 — Never Fade Away by SAMURAI (Refused),1105052,43491,630,3090,2019-08-23T10:00:10Z,"we lost everything
we had to pay the price
yeah we lost everything
we had to pay the price

i saw in you what life was missing
you lit a flame that consumed my hate
I'm not one for reminiscing but
I'd trade it all for your sweet embrace

yeah
cause we lost everything
we had to pay the price

there's a canvas with two faces
of fallen angels who loved and lost
it was a passion for the ages
and in the end guess we paid the cost

a thing of beauty - i know
will never fade away
what you did to me - i know
said what you had to say
but a thing of beauty

will never fade away
will never fade away
will never fade away

i see your eyes, i know you see me
you're like a ghost how you're everywhere
I am your demon never leaving
a metal soul of rage and fear

that one thing that changed it all
that one sin that caused the fall

a thing of beauty - I know
will never fade away
what you did to me - I know
said what you had to say
but a thing of beauty - I know
will never fade away
and I'll do my duty - I know
somehow I'll find a way
but a thing of beauty
will never fade away
and I'll do my duty

yeah
we'll never fade away
we'll never fade away
we'll never fade away
we'll never fade away


Music by Mattias Bärjed, David Sandström, Kristofer Steen, P.T. Adamczyk
Lyrics by David Sandström, Dennis Lyxzén
Mixed by Martin ""Konie"" Ehrencrona 
Mastered by Magnus Lindberg
Executive Producer : P.T. Adamczyk


Cyberpunk 2077, the open-world, action-adventure story from CD PROJEKT RED, is coming to Xbox One, PS4 and PC April 16th, 2020.

Pre-order now: https://www.cyberpunk.net/pre-order

About Cyberpunk 2077:
In the most dangerous megacity of the future, the real you is not enough. Become V, a cyber-enhanced mercenary outlaw going after a one-of-a-kind implant — the key to immortality. Customize your cyberware and skillset, and explore a vast city of the future obsessed with power, glamour and body modification. The choices you make will determine the story and shape the world around you.  

Learn more:
https://www.cyberpunk.net 
https://www.twitter.com/CyberpunkGame
https://www.facebook.com/CyberpunkGame 
https://www.instagram.com/CyberpunkGame
https://www.discord.gg/CyberpunkGame
https://www.CyberpunkGame.tumblr.com"
UC4zyoIAzmdsgpDZQfO1-lSA,Igq3d6XA75Y,20,Cyberpunk 2077 — Chippin’ In by SAMURAI (Refused),4590029,148995,1542,9986,2019-07-02T15:00:12Z,"can you feel it
can you touch it
get ready cause here we go

can you feel it
can you touch it
get ready cause here we go

my soul inserted with vital force
wonʼt spare what Iʼm hunting for
itʼs the animal in my blood
wouldnʼt stop it even if I could

seed is sown - Iʼm chippin' in
roll the bones - Iʼm chippin' in
embed that code - Iʼm chippin' in
mayhem flows

not backing down, never backing down
not backing down, yeah

can you feel it
can you touch it
get ready cause here we go

can you feel it
can you touch it
get ready cause here we go

yeah

suits run when I come undone
canʼt kill me Iʼm zeroes and ones
add justice to the peoples math
blaze way down the rebel path

hear my call - Iʼm chippin' in
total war - Iʼm chippin' in
casings fall - Iʼm chippin' in
kill them all

not backing down, never backing down

can you feel it
can you touch it
get ready cause here we go

can you feel it
can you touch it
get ready cause here we go


Music by David Sandström, Kristofer Steen 
Lyrics by David Sandström, Dennis Lyxzén 
Mixed by Martin ""Konie"" Ehrencrona  
Mastered by Magnus Lindberg 
Executive Producer : P.T. Adamczyk


Cyberpunk 2077, the open-world, action-adventure story from CD PROJEKT RED, is coming to Xbox One, PS4 and PC April 16th, 2020.

Pre-order now: https://www.cyberpunk.net/pre-order

About Cyberpunk 2077:
In the most dangerous megacity of the future, the real you is not enough. Become V, a cyber-enhanced mercenary outlaw going after a one-of-a-kind implant — the key to immortality. Customize your cyberware and skillset, and explore a vast city of the future obsessed with power, glamour and body modification. The choices you make will determine the story and shape the world around you.  

Learn more:
https://www.cyberpunk.net 
https://www.twitter.com/CyberpunkGame
https://www.facebook.com/CyberpunkGame 
https://www.instagram.com/CyberpunkGame
https://www.discord.gg/CyberpunkGame
https://www.CyberpunkGame.tumblr.com"
UC4zyoIAzmdsgpDZQfO1-lSA,qU3-4IrZ7tk,20,Cyberpunk 2077 — Cosplay Contest Announcement,283623,19364,169,1203,2019-06-27T14:05:43Z,"Get inspired by the world of Cyberpunk 2077 and take part in one of the biggest cosplay contests ever! Create a getup based on an existing character from the game and blow our minds for a shot at the lion’s share of a $40,000 prize pool and a chance to shine on the world stage!

Learn more about the contest: http://cyberpunk.net/cosplay-contest/  

Learn more about Cyberpunk 2077:
https://www.cyberpunk.net 
https://www.twitter.com/CyberpunkGame
https://www.facebook.com/CyberpunkGame 
https://www.instagram.com/CyberpunkGame
https://www.discord.gg/CyberpunkGame
https://www.CyberpunkGame.tumblr.com"
